2018-11-25 17:08:26,348 INFO     server_v2_select(78) log.server_log_config 'Server listen on localhost:7777'
2018-11-25 17:08:29,984 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>])", "{}"'
2018-11-25 17:08:29,984 DEBUG    server_v2_select(53) log.server_log_config 'Func "decode_msg" from "__main__.handle_client" got "(b'{"action": "presence", "time": "2018-11-25 17:08:29", "type": "status", "user": {"account_name": "Sam, the cookie", "status": "OK"}}',)", "{}"'
2018-11-25 17:08:29,985 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({'action': 'presence', 'time': '2018-11-25 17:08:29', 'type': 'status', 'user': {'account_name': 'Sam, the cookie', 'status': 'OK'}},)", "{}"'
2018-11-25 17:08:30,699 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58050)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58050)>])", "{}"'
2018-11-25 17:08:30,700 DEBUG    server_v2_select(53) log.server_log_config 'Func "decode_msg" from "__main__.handle_client" got "(b'{"action": "presence", "time": "2018-11-25 17:08:30", "type": "status", "user": {"account_name": "Undead guy of doom", "status": "OK"}}',)", "{}"'
2018-11-25 17:08:30,700 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({'action': 'presence', 'time': '2018-11-25 17:08:30', 'type': 'status', 'user': {'account_name': 'Undead guy of doom', 'status': 'OK'}},)", "{}"'
2018-11-25 17:08:30,701 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({'action': 'presence', 'time': '2018-11-25 17:08:30', 'type': 'status', 'user': {'account_name': 'Undead guy of doom', 'status': 'OK'}},)", "{}"'
2018-11-25 17:08:46,392 DEBUG    server_v2_select(53) log.server_log_config 'Func "handle_client" from "__main__.select_server" got "(<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58061)>, [<socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58046)>, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58050)>, <socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58061)>])", "{}"'
2018-11-25 17:08:46,393 DEBUG    server_v2_select(53) log.server_log_config 'Func "decode_msg" from "__main__.handle_client" got "(b'{"action": "presence", "time": "2018-11-25 17:08:46", "type": "status", "user": {"account_name": "A frightening ninja", "status": "OK"}}',)", "{}"'
2018-11-25 17:08:46,394 DEBUG    server_v2_select(53) log.server_log_config 'Func "encode_msg" from "__main__.handle_client" got "({'action': 'presence', 'time': '2018-11-25 17:08:46', 'type': 'status', 'user': {'account_name': 'A frightening ninja', 'status': 'OK'}},)", "{}"'
